Fas3_1_1_1_2				Fas3_1_1_1_3				Fas3_1_1_2_4				Fas3_1_2_5_4				Fas3_1_3_4_1				
0.243155056229186 0.000058595417831	0.236153795976879 -0.000959556328314	0.158643385210874 -0.000293364016082	0.109716613005116 0.002305609882264	0.277161380871148 0.000252199238154	
-0.009207034604755 -0.000215820852549	-0.010501656767045 -0.000246167915506	-0.000351899085547 -0.000008248818856	0.004697270916525 0.000110108092062	0.032070973133474 0.000751771342340	
-0.017853838416749 0.000000000010478	-0.012652575907038 0.000000000007425	0.030010966367166 -0.000000000017612	0.006271796051468 -0.000000000003681	0.005755288941548 -0.000000000003378	
0.386517285623254 -0.363992169115541	0.152014231261627 -0.143155278771372	-0.252677966735217 0.237952621061568	0.297871201104350 -0.280512123622605	0.179793345886014 -0.169315506436056	
0.005586690316721 0.000000000000055	0.010573985866135 0.000000000000103	-0.006493944804491 -0.000000000000063	0.012022805089224 0.000000000000118	-0.007867018932678 -0.000000000000077	
-0.004107485599749 0.008664762489625	0.016517475383728 -0.034843701250459	-0.018709082386491 0.039466907756817	-0.035460395568502 0.074803891073400	0.005588041866834 -0.011788003726939	
-0.007460643802944 -0.000162945253358	0.019126673201271 0.000417738829649	-0.015040471820435 -0.000328493566524	-0.034368754433680 -0.000750635675244	0.018555948731590 0.000405273840599	
0.012945001500800 -0.011898306436114	-0.007016896462465 0.006449530680683	0.023851725179412 -0.021923144249700	-0.021549213581229 0.019806807023613	-0.006530136559085 0.006002128763359	
-0.000058591070654 0.000000003604112	0.000108546021669 -0.000000006676991	-0.000119712229954 0.000000007363858	0.000008226559141 -0.000000000506040	-0.000068027810245 0.000000004184594	
0.000808995617174 -0.001477485837354	0.015579262954327 -0.028452738040591	-0.013502906287429 0.024660643864167	-0.014728867094908 0.026899642063600	0.007356011845921 -0.013434440299843	
